image,productId,status,latency_ms,suitable,evaluation_confidence,estimated_clearance,limiting_factor,warnings
08_bedroom_unrelated.jpg,cmqko6doz0017sn8o438qdkfx,200,890,True,0.6799999999999999,,,Moderate scene congestion.|DIMENSIONS_UNAVAILABLE: Real dimensions were not provided. Using normalized dimensions. Results are heuristic and not metric-accurate.
09_dining_table.jpg,cmqnju4670006ud6cpdni1ij9,200,893,True,0.6799999999999999,,,Moderate scene congestion.
09_dining_table.jpg,cmqko6doz0017sn8o438qdkfx,200,913,True,0.6799999999999999,,,Moderate scene congestion.|DIMENSIONS_UNAVAILABLE: Real dimensions were not provided. Using normalized dimensions. Results are heuristic and not metric-accurate.
10_dining_table_chairs.jpg,cmqnju4670006ud6cpdni1ij9,200,933,True,0.7384665805125953,,,Moderate scene congestion.
10_dining_table_chairs.jpg,cmqko6doz0017sn8o438qdkfx,200,1024,True,0.7384665805125953,,,Moderate scene congestion.|DIMENSIONS_UNAVAILABLE: Real dimensions were not provided. Using normalized dimensions. Results are heuristic and not metric-accurate.
11_multiple_furniture.jpg,cmqnju4670006ud6cpdni1ij9,200,949,False,0.628126982885067,,CONGESTION,High scene congestion detected.|Nearest obstacle is too close (Depth scalar: 690.37).
11_multiple_furniture.jpg,cmqko6doz0017sn8o438qdkfx,200,888,False,0.628126982885067,,CONGESTION,High scene congestion detected.|Nearest obstacle is too close (Depth scalar: 690.37).|DIMENSIONS_UNAVAILABLE: Real dimensions were not provided. Using normalized dimensions. Results are heuristic and not metric-accurate.
12_blurry_room.jpg,cmqnju4670006ud6cpdni1ij9,200,897,False,0.9310040000411989,,OBSTACLE_PROXIMITY,Nearest obstacle is too close (Depth scalar: 575.85).|Evaluated at 90° orientation due to constraints.
12_blurry_room.jpg,cmqko6doz0017sn8o438qdkfx,200,1834,False,0.9310040000411989,,OBSTACLE_PROXIMITY,Nearest obstacle is too close (Depth scalar: 575.85).|Evaluated at 90° orientation due to constraints.|DIMENSIONS_UNAVAILABLE: Real dimensions were not provided. Using normalized dimensions. Results are heuristic and not metric-accurate.
13_cluttered_room.jpg,cmqnju4670006ud6cpdni1ij9,200,1068,False,0.7883502000228967,,OBSTACLE_PROXIMITY,Moderate scene congestion.|Nearest obstacle is too close (Depth scalar: 809.53).|Evaluated at 90° orientation due to constraints.
13_cluttered_room.jpg,cmqko6doz0017sn8o438qdkfx,200,1183,False,0.7883502000228967,,OBSTACLE_PROXIMITY,Moderate scene congestion.|Nearest obstacle is too close (Depth scalar: 809.53).|Evaluated at 90° orientation due to constraints.|DIMENSIONS_UNAVAILABLE: Real dimensions were not provided. Using normalized dimensions. Results are heuristic and not metric-accurate.
14_unusual_viewpoint.jpg,cmqnju4670006ud6cpdni1ij9,200,896,False,0.9035725908997454,,OBSTACLE_PROXIMITY,Nearest obstacle is too close (Depth scalar: 370.20).|Evaluated at 90° orientation due to constraints.
14_unusual_viewpoint.jpg,cmqko6doz0017sn8o438qdkfx,200,921,False,0.9035725908997454,,OBSTACLE_PROXIMITY,Nearest obstacle is too close (Depth scalar: 370.20).|Evaluated at 90° orientation due to constraints.|DIMENSIONS_UNAVAILABLE: Real dimensions were not provided. Using normalized dimensions. Results are heuristic and not metric-accurate.
15_extreme_lighting.jpg,cmqnju4670006ud6cpdni1ij9,200,890,True,0.9892826189173325,,,
15_extreme_lighting.jpg,cmqko6doz0017sn8o438qdkfx,200,891,True,0.9892826189173325,,,DIMENSIONS_UNAVAILABLE: Real dimensions were not provided. Using normalized dimensions. Results are heuristic and not metric-accurate.
